DATE,BAMLH0A0HYM2
2020-01-01,3.6013636363636364
2020-02-01,3.9219047619047619
2020-03-01,7.8540909090909091
2020-04-01,8.1380952380952381
2020-05-01,7.2872727272727273
2020-06-01,6.0663636363636364
2020-07-01,5.6995652173913043
2020-08-01,5.1238095238095238
2020-09-01,5.2600000000000000
2020-10-01,5.0521739130434783
2020-11-01,4.5252380952380952
2020-12-01,4.0445454545454545
2021-01-01,3.7804761904761905
2021-02-01,3.5261904761904762
2021-03-01,3.5473913043478261
2021-04-01,3.2680952380952381
2021-05-01,3.3338095238095238
2021-06-01,3.1745454545454545
2021-07-01,3.1730434782608696
2021-08-01,3.3213636363636364
2021-09-01,3.1172727272727273
2021-10-01,3.1490909090909091
2021-11-01,3.2245454545454545
2021-12-01,3.2695454545454545
2022-01-01,3.2247619047619048
2022-02-01,3.6460000000000000
2022-03-01,3.7886956521739130
2022-04-01,3.6523809523809524
2022-05-01,4.4877272727272727
2022-06-01,4.8700000000000000
2022-07-01,5.3009090909090909
2022-08-01,4.5265217391304348
2022-09-01,4.9854545454545455
2022-10-01,4.9980952380952381
2022-11-01,4.6768181818181818
2022-12-01,4.5831818181818182
2023-01-01,4.3438095238095238
2023-02-01,4.2005000000000000
2023-03-01,4.6913043478260870
2023-04-01,4.5655000000000000
2023-05-01,4.6882608695652174
2023-06-01,4.2940909090909091
2023-07-01,3.9371428571428571
2023-08-01,3.9030434782608696
2023-09-01,3.8890909090909091
2023-10-01,4.3554545454545455
2023-11-01,3.9859090909090909
2023-12-01,3.5742857142857143
2024-01-01,3.5459090909090909
2024-02-01,3.3600000000000000
2024-03-01,3.1804761904761905
2024-04-01,3.2272727272727273
2024-05-01,3.1169565217391304
2024-06-01,3.2000000000000000
2024-07-01,3.1552173913043478
