DATE,NASDAQCOM
2019-12-01,8778.5914285714285714
2020-01-01,9233.3595238095238095
2020-02-01,9418.8489473684210526
2020-03-01,7772.2059090909090909
2020-04-01,8292.4071428571428571
2020-05-01,9105.6555000000000000
2020-06-01,9839.9700000000000000
2020-07-01,10499.862727272727
2020-08-01,11212.290476190476
2020-09-01,11088.679523809524
2020-10-01,11435.234090909091
2020-11-01,11794.515500000000
2020-12-01,12619.050909090909
2021-01-01,13186.605789473684
2021-02-01,13737.403684210526
2021-03-01,13168.811304347826
2021-04-01,13900.438095238095
2021-05-01,13517.682500000000
2021-06-01,14097.169090909091
2021-07-01,14639.072857142857
2021-08-01,14856.517727272727
2021-09-01,15023.538571428571
2021-10-01,14879.012380952381
2021-11-01,15814.932857142857
2021-12-01,15474.431818181818
2022-01-01,14531.377500000000
2022-02-01,13898.727894736842
2022-03-01,13623.263043478261
2022-04-01,13394.163000000000
2022-05-01,11829.729523809524
2022-06-01,11418.919047619048
2022-07-01,11622.631500000000
2022-08-01,12570.260434782609
2022-09-01,11402.850000000000
2022-10-01,10801.494285714286
2022-11-01,10973.638095238095
2022-12-01,10838.995714285714
2023-01-01,11013.991000000000
2023-02-01,11785.074210526316
2023-03-01,11637.092173913043
2023-04-01,12073.464210526316
2023-05-01,12446.530454545455
2023-06-01,13463.777619047619
2023-07-01,14033.091000000000
2023-08-01,13743.213043478261
2023-09-01,13585.839500000000
2023-10-01,13199.427727272727
2023-11-01,13913.160476190476
2023-12-01,14690.493000000000
2024-01-01,15081.387619047619
2024-02-01,15808.935000000000
2024-03-01,16216.295500000000
2024-04-01,15950.863636363636
2024-05-01,16536.317272727273
2024-06-01,17495.891578947368
2024-07-01,17963.290909090909
