DATE,NASDAQCOM
2014-06-01,4332.7385714285714286
2014-07-01,4434.1259090909090909
2014-08-01,4464.8314285714285714
2014-09-01,4551.5861904761904762
2014-10-01,4403.2304347826086957
2014-11-01,4687.7021052631578947
2014-12-01,4732.7013636363636364
2015-01-01,4673.7015000000000000
2015-02-01,4854.2557894736842105
2015-03-01,4938.0109090909090909
2015-04-01,4985.9514285714285714
2015-05-01,5029.4315000000000000
2015-06-01,5073.0418181818181818
2015-07-01,5082.8100000000000000
2015-08-01,4934.6228571428571429
2015-09-01,4748.0047619047619048
2015-10-01,4879.0368181818181818
2015-11-01,5082.5075000000000000
2015-12-01,5040.5400000000000000
2016-01-01,4610.7142105263157895
2016-02-01,4463.2060000000000000
2016-03-01,4754.4795454545454545
2016-04-01,4892.1680952380952381
2016-05-01,4788.2352380952380952
2016-06-01,4856.2322727272727273
2016-07-01,5023.9890000000000000
2016-08-01,5217.0382608695652174
2016-09-01,5254.1542857142857143
2016-10-01,5255.9890476190476190
2016-11-01,5260.5652380952380952
2016-12-01,5413.1166666666666667
2017-01-01,5561.4235000000000000
2017-02-01,5764.7021052631578947
2017-03-01,5864.9639130434782609
2017-04-01,5912.1694736842105263
2017-05-01,6124.8781818181818182
2017-06-01,6224.2859090909090909
2017-07-01,6294.6740000000000000
2017-08-01,6311.3973913043478261
2017-09-01,6428.0790000000000000
2017-10-01,6603.0113636363636364
2017-11-01,6796.0452380952380952
2017-12-01,6889.7405000000000000
2018-01-01,7279.4980952380952381
2018-02-01,7161.7726315789473684
2018-03-01,7311.5057142857142857
2018-04-01,7084.1410952380952381
2018-05-01,7339.3273636363636364
2018-06-01,7645.1391428571428571
2018-07-01,7756.8631428571428571
2018-08-01,7892.2330000000000000
2018-09-01,7983.3073684210526316
2018-10-01,7527.0839130434782609
2018-11-01,7236.0814285714285714
2018-12-01,6814.2915789473684211
2019-01-01,6979.6557142857142857
2019-02-01,7430.0773684210526316
2019-03-01,7629.3666666666666667
2019-04-01,7995.0637727272727273
2019-05-01,7804.8209090909090909
2019-06-01,7825.4590000000000000
2019-07-01,8205.5986363636363636
2019-08-01,7910.9331818181818182
2019-09-01,8087.7000000000000000
2019-10-01,8079.2782608695652174
2019-11-01,8517.5775000000000000
2019-12-01,8778.5914285714285714
2020-01-01,9233.3595238095238095
2020-02-01,9418.8489473684210526
2020-03-01,7772.2059090909090909
2020-04-01,8292.4071428571428571
2020-05-01,9105.6555000000000000
2020-06-01,9839.9700000000000000
2020-07-01,10499.862727272727
2020-08-01,11212.290476190476
2020-09-01,11088.679523809524
2020-10-01,11435.234090909091
2020-11-01,11794.515500000000
2020-12-01,12619.050909090909
2021-01-01,13186.605789473684
2021-02-01,13737.403684210526
2021-03-01,13168.811304347826
2021-04-01,13900.438095238095
2021-05-01,13517.682500000000
2021-06-01,14097.169090909091
2021-07-01,14639.072857142857
2021-08-01,14856.517727272727
2021-09-01,15023.538571428571
2021-10-01,14879.012380952381
2021-11-01,15814.932857142857
2021-12-01,15474.431818181818
2022-01-01,14531.377500000000
2022-02-01,13898.727894736842
2022-03-01,13623.263043478261
2022-04-01,13394.163000000000
2022-05-01,11829.729523809524
2022-06-01,11418.919047619048
2022-07-01,11622.631500000000
2022-08-01,12570.260434782609
2022-09-01,11402.850000000000
2022-10-01,10801.494285714286
2022-11-01,10973.638095238095
2022-12-01,10838.995714285714
2023-01-01,11013.991000000000
2023-02-01,11785.074210526316
2023-03-01,11637.092173913043
2023-04-01,12073.464210526316
2023-05-01,12446.530454545455
2023-06-01,13463.777619047619
2023-07-01,14033.091000000000
2023-08-01,13743.213043478261
2023-09-01,13585.839500000000
2023-10-01,13199.427727272727
2023-11-01,13913.160476190476
2023-12-01,14690.493000000000
2024-01-01,15081.387619047619
2024-02-01,15808.935000000000
2024-03-01,16216.295500000000
2024-04-01,15950.863636363636
2024-05-01,16536.317272727273
2024-06-01,17495.891578947368
2024-07-01,17963.290909090909
2024-08-01,17247.061428571429
